startdat,enddate,aex1_1,aex1_2,aex1_3,aex1_4,aex1_5,aex1_6,aex1_7,aex1_8,aex1_9,aex1_9_t,aex1_10,aex1_11,aex2,aex3,complete,qflag,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppemploy,ppstaten,ppt18ov,ppkid017,ppreg9,sstno,partyid4,ind1,ppcm0006,pprent_n,ppcm0166,urb_sub_,msc,ppracem,core_par,weights
9/18/2021 15:52:26,9/18/2021 16:05:57,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don’t know,Not selected,Somewhat concerned,I’m not sure,qualified,1,74,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,FL,2,0,South Atlantic,70,Democrat,Not asked,Someone else does all of it,Owned by you or someone in your household with a mortgage or loan,Not asked,Urban,In the center city of an MSA,White,No,.7119116
9/17/2021 17:28:51,9/17/2021 17:38:11,Not selected,Woolly Mammoths,Not selected,Not selected,Saber-Toothed Tigers,Tasmanian Tigers,Not selected,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Not very concerned,I’m not sure,qualified,1,44,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,SC,2,2,South Atlantic,70,Republican,"Delivery Services, Warehousing, and Transportation (including Air, Rail, Water, Truck, and Passenger)","Someone else does most of it, you do some of it",Owned by you or someone in your household with a mortgage or loan,2-9,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,Yes,.6189755
9/18/2021 12:59:00,9/18/2021 13:23:07,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Not very concerned,I’m not sure,qualified,1,63,Some college,Some college or Associate degree,"Black or African American, Non-Hispanic",Male,1,One-family house detached from any other house,"$50,000 to $74,999",Never married,Metro area,South,Rented for cash,Working full-time,VA,1,0,South Atlantic,70,Democrat,Construction and Specialty Contractors (such as Plumbing and Electrical),You do all of it,Rented,500-999,Suburban,Inside a suburban county of the MSA,Black or African American,No,1.1634059
9/18/2021 6:02:08,9/18/2021 6:19:39,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Somewhat concerned,I’m not sure,qualified,1,78,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working part-time,FL,2,0,South Atlantic,70,Democrat,"Health Care (including Elder Care, Home Health Care)",You do about half of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Only me,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,.697192
9/18/2021 20:49:17,9/18/2021 20:55:13,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Not very concerned,No,qualified,1,43,Some college,Some college or Associate degree,Hispanic,Female,or more,One-family house detached from any other house,"$25,000 to $49,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working part-time,MI,5,2,East-North Central,70,Republican,"Finance, Banking, and Insurance",You do all of it,Owned by you or someone in your household with a mortgage or loan,2500-5000,Rural,Outside the center city of an MSA but inside the county containing the center city,2+ races,Yes,1.9435065
9/19/2021 13:06:52,9/19/2021 13:18:42,Not selected,Woolly Mammoths,Dodo birds,Mastodon,Saber-Toothed Tigers,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Very concerned,Yes,qualified,1,55,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,2,Building with 2 or more apartments,"$25,000 to $49,999",Never married,Metro area,West,Rented for cash,Working part-time,CA,2,0,Pacific,70,Democrat,"Arts, Entertainment, and Recreation",You do most of it,Rented,Only me,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,.5986293
9/18/2021 11:56:15,9/18/2021 12:04:31,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Somewhat concerned,No,qualified,1,29,Bachelor or higher,Bachelor’s degree,Hispanic,Female,3,One-family house detached from any other house,"$100,000 to $149,999",Never married,Metro area,West,Occupied without payment of cash rent,Working full-time,CA,3,0,Pacific,70,Democrat,"Finance, Banking, and Insurance",You do most of it,Occupied without payment of rent,10-24,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,1.3114254
9/19/2021 12:02:50,9/19/2021 12:15:43,Not selected,Woolly Mammoths,Not selected,Not selected,Not selected,Not selected,Not selected,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Not very concerned,No,qualified,1,55,Bachelor or higher,Bachelor’s degree,"Other, Non-Hispanic",Female,or more,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,IN,or more,1,East-North Central,70,Republican,"Professional, Scientific, Technical, and Business Services",You do about half of it,Owned by you or someone in your household with a mortgage or loan,100-249,Rural,Inside a suburban county of the MSA,American Indian or Alaska Native,Yes,1.0839812
9/18/2021 17:59:23,9/19/2021 11:00:18,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don’t know,Not selected,Not very concerned,I’m not sure,qualified,1,57,Bachelor or higher,Master’s degree or above,"Black or African American, Non-Hispanic",Female,4,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working part-time,AL,4,0,East-South Central,70,Independent,Education and Tutoring,You do about half of it,Owned by you or someone in your household with a mortgage or loan,250-499,Urban,In the center city of an MSA,Black or African American,No,.8588444
9/18/2021 12:16:14,9/18/2021 12:24:34,Not selected,Woolly Mammoths,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not very concerned,No,qualified,1,34,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,2,Building with 2 or more apartments,"$100,000 to $149,999",Now married,Metro area,Northeast,Rented for cash,Working full-time,PA,2,0,Mid-Atlantic,70,Independent,"Professional, Scientific, Technical, and Business Services",You do about half of it,Rented,50-99,Suburban,Inside a suburban county of the MSA,White,No,.923099
9/19/2021 10:46:28,9/19/2021 10:56:37,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don’t know,Not selected,I don’t know,I’m not sure,qualified,1,43,Less than HS,No high school diploma or GED,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$25,000 to $49,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working part-time,DE,2,0,South Atlantic,70,Independent,Retail/Stores/Shopping (including Online Retail),You do all of it,Owned by you or someone in your household with a mortgage or loan,1000-2499,Rural,Inside a suburban county of the MSA,White,No,1.6142182
9/17/2021 17:23:24,9/17/2021 17:29:37,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don’t know,Not selected,I don’t know,I’m not sure,qualified,1,46,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,West,Owned or being bought by you or someone in,Working full-time,CA,2,1,Pacific,70,Independent,"Factory, Manufacturing, and Woodworking",You do about half of it,Owned by you or someone in your household with a mortgage or loan,500-999,Urban,In the center city of an MSA,White,Yes,.6650001
9/17/2021 17:31:23,9/17/2021 17:43:47,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Somewhat concerned,No,qualified,1,64,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,3,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,MN,3,0,West-North Central,70,Democrat,Not asked,You do about half of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,.7335271
9/18/2021 9:59:47,9/18/2021 10:07:58,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don’t know,Not selected,I don’t know,I’m not sure,qualified,1,29,Less than HS,No high school diploma or GED,Hispanic,Female,2,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,West,Rented for cash,Not working,CA,2,0,Pacific,70,Democrat,Not asked,You do all of it,Rented,Not asked,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,2.0087919
9/18/2021 7:43:39,9/19/2021 8:17:25,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,42,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Female,or more,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,NY,3,3,Mid-Atlantic,70,Something else,Community/Non-Profit Organizations (including Religious and Political Organizations),"Someone else does most of it, you do some of it",Owned by you or someone in your household with a mortgage or loan,250-499,Urban,In the center city of an MSA,White,Yes,.923099
9/17/2021 19:16:43,9/17/2021 19:40:14,Not selected,Not selected,Not selected,Not selected,Not selected,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,71,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,OR,2,0,Pacific,70,Independent,Not asked,"Someone else does most of it, you do some of it",Owned by you or someone in your household with a mortgage or loan,Not asked,Suburban,Inside a suburban county of the MSA,White,No,.5553783
9/19/2021 11:59:54,9/19/2021 12:17:47,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Northern White Rhinoceros,Not selected,Not selected,Not selected,Not selected,Not selected,Very concerned,Yes,qualified,1,57,Some college,Some college or Associate degree,Hispanic,Male,2,Building with 2 or more apartments,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,FL,2,0,South Atlantic,70,Democrat,Not asked,You do most of it,Owned by you or someone in your household with a mortgage or loan,Not asked,Urban,In the center city of an MSA,White,No,1.3327023
9/18/2021 12:30:53,9/18/2021 12:51:00,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don’t know,Not selected,Somewhat concerned,No,qualified,1,81,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,1,One-family house detached from any other house,"$25,000 to $49,999",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,NV,1,0,Mountain,70,Democrat,Not asked,You do all of it,Owned by you or someone in your household with a mortgage or loan,Not asked,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,.8374976
9/17/2021 17:08:52,9/17/2021 17:25:16,Not selected,Woolly Mammoths,Not selected,Not selected,Not selected,Not selected,Northern White Rhinoceros,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Not very concerned,Yes,qualified,1,59,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,4,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,AL,4,0,East-South Central,70,Republican,Not asked,You do most of it,Owned by you or someone in your household with a mortgage or loan,Not asked,Suburban,Inside a suburban county of the MSA,White,No,.7056968
9/17/2021 18:22:05,9/17/2021 18:30:44,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Very concerned,No,qualified,1,60,HS,High school graduate (high school diploma or the equivalent GED),"Black or African American, Non-Hispanic",Female,1,Building with 2 or more apartments,"$50,000 to $74,999",Never married,Metro area,Northeast,Rented for cash,Working full-time,NJ,1,0,Mid-Atlantic,70,Democrat,"Finance, Banking, and Insurance",You do all of it,Rented,100-249,Suburban,Outside the center city of an MSA but inside the county containing the center city,Black or African American,No,1.1436834
9/17/2021 22:18:55,9/17/2021 22:38:58,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Northern White Rhinoceros,Not selected,Not selected,Not selected,Not selected,Not selected,Very concerned,I’m not sure,qualified,1,74,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,1,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,WV,1,0,South Atlantic,70,Democrat,Not asked,You do most of it,Owned by you or someone in your household with a mortgage or loan,Not asked,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,.9440029
9/19/2021 7:15:36,9/19/2021 7:36:12,Not selected,Not selected,Dodo birds,Not selected,Not selected,Tasmanian Tigers,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Very concerned,Yes,qualified,1,24,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,1,Building with 2 or more apartments,"$25,000 to $49,999",Never married,Metro area,South,Rented for cash,Working full-time,TX,1,0,West-South Central,70,Democrat,"Finance, Banking, and Insurance",You do about half of it,Rented,100-249,Urban,In the center city of an MSA,White,No,.9196153
9/17/2021 23:03:31,9/17/2021 23:13:25,Dinosaurs,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Very concerned,I’m not sure,qualified,1,41,Less than HS,No high school diploma or GED,Hispanic,Female,1,One-family house detached from any other house,"Under $10,000",Never married,Metro area,West,Rented for cash,Not working,CA,1,0,Pacific,70,Something else,Not asked,You do about half of it,Rented,Not asked,Urban,In the center city of an MSA,American Indian or Alaska Native,No,2.7681565
9/19/2021 6:52:05,9/19/2021 6:59:08,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Very concerned,No,qualified,1,43,Less than HS,No high school diploma or GED,"White, Non-Hispanic",Female,2,Building with 2 or more apartments,"$10,000 to $24,999",Never married,Metro area,Midwest,Rented for cash,Not working,OH,2,0,East-North Central,70,Something else,Not asked,You do all of it,Rented,Not asked,Urban,In the center city of an MSA,White,No,1.786247
9/19/2021 12:29:54,9/19/2021 12:36:00,Dinosaurs,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don’t know,No,qualified,1,29,Bachelor or higher,Bachelor’s degree,"Black or African American, Non-Hispanic",Male,2,One-family house detached from any other house,"$75,000 to $99,999",Never married,Metro area,South,Owned or being bought by you or someone in,Working full-time,MD,2,0,South Atlantic,70,Independent,Management of Companies and Enterprises,You do all of it,Owned by you or someone in your household with a mortgage or loan,2-9,Suburban,Inside a suburban county of the MSA,Black or African American,No,1.1548309
9/19/2021 7:11:52,9/19/2021 7:21:25,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Somewhat concerned,No,qualified,1,46,Bachelor or higher,Master’s degree or above,"Black or African American, Non-Hispanic",Female,5,Building with 2 or more apartments,"$150,000 or more",Now married,Metro area,Midwest,Rented for cash,Working full-time,IL,4,1,East-North Central,70,Democrat,Education and Tutoring,You do most of it,Rented,1000-2499,Urban,In the center city of an MSA,Black or African American,Yes,1.0048963
9/18/2021 15:07:04,9/18/2021 15:35:44,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Not at all concerned,No,qualified,1,33,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$100,000 to $149,999",Now married,Non-metro area,South,Owned or being bought by you or someone in,Working full-time,AL,2,2,East-South Central,70,Republican,"Health Care (including Elder Care, Home Health Care)",Someone else does all of it,Owned by you or someone in your household with a mortgage or loan,10-24,Urban,Not in an MSA,White,Yes,.7785833
9/18/2021 15:16:07,9/18/2021 15:29:19,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Somewhat concerned,No,qualified,1,50,HS,High school graduate (high school diploma or the equivalent GED),Hispanic,Male,1,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,CT,1,0,New England,70,Democrat,"Factory, Manufacturing, and Woodworking","Someone else does most of it, you do some of it",Owned by you or someone in your household with a mortgage or loan,10-24,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,1.2177229
9/17/2021 17:12:03,9/17/2021 17:25:12,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don’t know,Not selected,I don’t know,No,qualified,1,25,Bachelor or higher,Bachelor’s degree,"2+ races, Non-Hispanic",Male,or more,One-family house detached from any other house,"$100,000 to $149,999",Never married,Metro area,South,Owned or being bought by you or someone in,Working full-time,TX,or more,0,West-South Central,70,Something else,"Professional, Scientific, Technical, and Business Services","Someone else does most of it, you do some of it",Owned by you or someone in your household with a mortgage or loan,5000+,Suburban,Outside the center city of an MSA but inside the county containing the center city,2+ races,No,.7881941
9/18/2021 10:42:20,9/18/2021 10:54:11,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Not at all concerned,No,qualified,1,66,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$25,000 to $49,999",Now married,Non-metro area,Northeast,Owned or being bought by you or someone in,Not working,PA,2,0,Mid-Atlantic,70,Republican,Not asked,You do most of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Rural,Not in an MSA,White,No,.8957133
9/17/2021 18:58:08,9/17/2021 19:16:09,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don’t know,Not selected,Somewhat concerned,Yes,qualified,1,72,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,3,One-family house detached from any other house,"$10,000 to $24,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,VA,3,0,South Atlantic,70,Republican,Not asked,You do most of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Suburban,Inside a suburban county of the MSA,White,No,.9936443
9/18/2021 0:55:39,9/18/2021 1:09:22,Not selected,Not selected,Dodo birds,Mastodon,Not selected,Tasmanian Tigers,Not selected,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Somewhat concerned,Yes,qualified,1,46,Bachelor or higher,Master’s degree or above,"Other, Non-Hispanic",Male,4,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,VA,3,1,South Atlantic,70,Independent,"Finance, Banking, and Insurance",You do about half of it,Owned by you or someone in your household with a mortgage or loan,5000+,Suburban,Outside the center city of an MSA but inside the county containing the center city,Asian,Yes,1.2436841
9/17/2021 17:11:39,9/17/2021 17:43:05,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Somewhat concerned,I’m not sure,qualified,1,59,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Female,3,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Not working,NY,3,0,Mid-Atlantic,70,Independent,Not asked,You do all of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Urban,In the center city of an MSA,White,No,.6798415
9/18/2021 9:17:23,9/18/2021 9:31:37,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don’t know,Not selected,Somewhat concerned,I’m not sure,qualified,1,69,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,3,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,TN,2,1,East-South Central,70,Independent,Not asked,You do most of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Rural,Inside a suburban county of the MSA,White,No,.8554859
9/18/2021 9:38:34,9/18/2021 10:03:03,Not selected,Not selected,Not selected,Not selected,Not selected,Tasmanian Tigers,Not selected,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Not very concerned,I’m not sure,qualified,1,85,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$10,000 to $24,999",Widowed,Metro area,Midwest,Owned or being bought by you or someone in,Not working,IN,2,0,East-North Central,70,Independent,Not asked,You do most of it,Owned by you or someone in your household with a mortgage or loan,Not asked,Rural,Outside the center city of an MSA but inside the county containing the center city,White,No,.9172382
9/18/2021 20:12:23,9/19/2021 9:58:30,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Not very concerned,I’m not sure,qualified,1,62,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,KY,4,0,East-South Central,70,Republican,Not asked,You do most of it,Owned by you or someone in your household with a mortgage or loan,Not asked,Suburban,Inside a suburban county of the MSA,White,No,.697192
9/18/2021 13:08:56,9/18/2021 13:26:24,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Not very concerned,No,qualified,1,75,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,3,One-family house detached from any other house,"$100,000 to $149,999",Now married,Non-metro area,South,Owned or being bought by you or someone in,Not working,OK,3,0,West-South Central,70,Republican,Not asked,You do all of it,Owned by you or someone in your household with a mortgage or loan,Not asked,Suburban,Not in an MSA,White,No,.9995318
9/19/2021 9:13:25,9/19/2021 9:27:27,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Somewhat concerned,No,qualified,1,76,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$10,000 to $24,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working part-time,FL,2,0,South Atlantic,70,Independent,Retail/Stores/Shopping (including Online Retail),You do about half of it,Owned by you or someone in your household with a mortgage or loan,2-9,Urban,In the center city of an MSA,White,No,.8268831
9/18/2021 1:22:55,9/18/2021 1:32:47,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Very concerned,I’m not sure,qualified,1,68,HS,High school graduate (high school diploma or the equivalent GED),Hispanic,Female,2,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,South,Rented for cash,Working part-time,FL,2,0,South Atlantic,70,Independent,Wholesale Trade,You do most of it,Rented,5000+,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,1.2574792
9/18/2021 17:38:19,9/18/2021 17:42:50,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,I don’t know,I’m not sure,qualified,1,41,Less than HS,No high school diploma or GED,"White, Non-Hispanic",Male,1,Building with 2 or more apartments,"Under $10,000",Never married,Metro area,Northeast,Rented for cash,Working full-time,PA,1,0,Mid-Atlantic,70,Refused,Not asked,Refused,Refused,Not asked,Urban,In the center city of an MSA,White,No,1.4374145
9/17/2021 19:03:48,9/17/2021 19:12:38,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Not very concerned,No,qualified,1,36,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,or more,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,CT,2,4,New England,70,Independent,"Health Care (including Elder Care, Home Health Care)","Someone else does most of it, you do some of it",Owned by you or someone in your household with a mortgage or loan,5000+,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,Yes,.6317079
9/17/2021 19:08:26,9/17/2021 19:17:41,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,I don’t know,No,qualified,1,43,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,3,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,PA,2,1,Mid-Atlantic,70,Republican,Child Day Care Services,You do all of it,Owned by you or someone in your household with a mortgage or loan,2-9,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,Yes,.9693698
9/17/2021 18:28:07,9/17/2021 18:36:45,Not selected,Not selected,Dodo birds,Not selected,Not selected,Not selected,Northern White Rhinoceros,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Somewhat concerned,No,qualified,1,50,Some college,Some college or Associate degree,Hispanic,Male,3,One-family house detached from any other house,"$150,000 or more",Never married,Metro area,South,Owned or being bought by you or someone in,Working full-time,TX,3,0,West-South Central,70,Democrat,Accommodation and Food Services,You do all of it,Owned by you or someone in your household free and clear (without a mortgage or loan),2500-5000,Urban,In the center city of an MSA,White,No,1.3705684
9/18/2021 13:23:07,9/18/2021 13:34:45,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Not at all concerned,I’m not sure,qualified,1,71,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working part-time,TX,2,0,West-South Central,70,Republican,"Professional, Scientific, Technical, and Business Services",You do all of it,Owned by you or someone in your household free and clear (without a mortgage or loan),2-9,Rural,Outside the center city of an MSA but inside the county containing the center city,White,No,.9708248
9/18/2021 21:20:06,9/18/2021 21:40:31,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Very concerned,I’m not sure,qualified,1,84,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,1,One-family house detached from any other house,"$10,000 to $24,999",Widowed,Metro area,South,Occupied without payment of cash rent,Not working,FL,1,0,South Atlantic,70,Republican,Not asked,You do all of it,Occupied without payment of rent,Not asked,Urban,In the center city of an MSA,White,No,.8896177
9/17/2021 21:01:39,9/17/2021 21:23:56,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Not very concerned,No,qualified,1,46,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,or more,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,VA,3,4,South Atlantic,70,Independent,"Professional, Scientific, Technical, and Business Services","Someone else does most of it, you do some of it",Owned by you or someone in your household with a mortgage or loan,100-249,Rural,Inside a suburban county of the MSA,White,Yes,.8117414
